entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Actinopterygii,class,risk_preference,0.3.0,0.3.1,1.10237,1.10237,0.0,0.0
taxon,Actinopterygii,class,temporal_discount_rate,0.3.0,0.3.1,0.67093,0.67093,0.0,0.0
taxon,Actinopterygii,class,effort_price_elasticity,0.3.0,0.3.1,-1.003874,-1.003874,0.0,0.0
taxon,Actinopterygii,class,cooperation_propensity,0.3.0,0.3.1,0.547796,0.547796,0.0,0.0
taxon,Actinopterygii,class,inequity_sensitivity,0.3.0,0.3.1,0.565761,0.565761,0.0,0.0
taxon,Actinopterygii,class,punishment_propensity,0.3.0,0.3.1,0.477607,0.477607,0.0,0.0
taxon,Actinopterygii,class,tokenization_capacity,0.3.0,0.3.1,0.487057,0.487057,0.0,0.0
taxon,Actinopterygii,class,risk_preference,0.3.1,0.4.0,1.10237,1.034776,0.067594,0.061317
taxon,Actinopterygii,class,temporal_discount_rate,0.3.1,0.4.0,0.67093,0.642923,0.028007,0.041744
taxon,Actinopterygii,class,effort_price_elasticity,0.3.1,0.4.0,-1.003874,-1.161238,0.157364,0.156757
taxon,Actinopterygii,class,cooperation_propensity,0.3.1,0.4.0,0.547796,0.522537,0.025259,0.04611
taxon,Actinopterygii,class,inequity_sensitivity,0.3.1,0.4.0,0.565761,0.580001,0.01424,0.02517
taxon,Actinopterygii,class,punishment_propensity,0.3.1,0.4.0,0.477607,0.485401,0.007794,0.016319
taxon,Actinopterygii,class,tokenization_capacity,0.3.1,0.4.0,0.487057,0.447036,0.040021,0.082169
taxon,Actinopterygii,class,risk_preference,0.4.0,0.4.0,1.034776,1.034776,0.0,0.0
taxon,Actinopterygii,class,temporal_discount_rate,0.4.0,0.4.0,0.642923,0.642923,0.0,0.0
taxon,Actinopterygii,class,effort_price_elasticity,0.4.0,0.4.0,-1.161238,-1.161238,0.0,0.0
taxon,Actinopterygii,class,cooperation_propensity,0.4.0,0.4.0,0.522537,0.522537,0.0,0.0
taxon,Actinopterygii,class,inequity_sensitivity,0.4.0,0.4.0,0.580001,0.580001,0.0,0.0
taxon,Actinopterygii,class,punishment_propensity,0.4.0,0.4.0,0.485401,0.485401,0.0,0.0
taxon,Actinopterygii,class,tokenization_capacity,0.4.0,0.4.0,0.447036,0.447036,0.0,0.0
taxon,Aves,class,risk_preference,0.3.0,0.3.1,0.991016,0.991016,0.0,0.0
taxon,Aves,class,temporal_discount_rate,0.3.0,0.3.1,0.490801,0.490801,0.0,0.0
taxon,Aves,class,effort_price_elasticity,0.3.0,0.3.1,-0.853055,-0.853055,0.0,0.0
taxon,Aves,class,cooperation_propensity,0.3.0,0.3.1,0.71695,0.71695,0.0,0.0
taxon,Aves,class,inequity_sensitivity,0.3.0,0.3.1,0.704445,0.704445,0.0,0.0
taxon,Aves,class,punishment_propensity,0.3.0,0.3.1,0.598007,0.598007,0.0,0.0
taxon,Aves,class,tokenization_capacity,0.3.0,0.3.1,0.789715,0.789715,0.0,0.0
taxon,Aves,class,risk_preference,0.3.1,0.4.0,0.991016,0.992457,0.001441,0.001454
taxon,Aves,class,temporal_discount_rate,0.3.1,0.4.0,0.490801,0.489126,0.001675,0.003413
taxon,Aves,class,effort_price_elasticity,0.3.1,0.4.0,-0.853055,-0.897923,0.044868,0.052597
taxon,Aves,class,cooperation_propensity,0.3.1,0.4.0,0.71695,0.640686,0.076264,0.106373
taxon,Aves,class,inequity_sensitivity,0.3.1,0.4.0,0.704445,0.655438,0.049007,0.069568
taxon,Aves,class,punishment_propensity,0.3.1,0.4.0,0.598007,0.569683,0.028324,0.047364
taxon,Aves,class,tokenization_capacity,0.3.1,0.4.0,0.789715,0.748825,0.04089,0.051778
