entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Actinopterygii,class,risk_preference,0.3.0,0.3.1,1.10237,1.10237,0.0,0.0
taxon,Actinopterygii,class,temporal_discount_rate,0.3.0,0.3.1,0.67093,0.67093,0.0,0.0
taxon,Actinopterygii,class,effort_price_elasticity,0.3.0,0.3.1,-1.003874,-1.003874,0.0,0.0
taxon,Actinopterygii,class,cooperation_propensity,0.3.0,0.3.1,0.547796,0.547796,0.0,0.0
taxon,Actinopterygii,class,inequity_sensitivity,0.3.0,0.3.1,0.565761,0.565761,0.0,0.0
taxon,Actinopterygii,class,punishment_propensity,0.3.0,0.3.1,0.477607,0.477607,0.0,0.0
taxon,Actinopterygii,class,tokenization_capacity,0.3.0,0.3.1,0.487057,0.487057,0.0,0.0
taxon,Actinopterygii,class,risk_preference,0.3.1,0.4.0,1.10237,1.034776,0.067594,0.061317
taxon,Actinopterygii,class,temporal_discount_rate,0.3.1,0.4.0,0.67093,0.642923,0.028007,0.041744
taxon,Actinopterygii,class,effort_price_elasticity,0.3.1,0.4.0,-1.003874,-1.161238,0.157364,0.156757
taxon,Actinopterygii,class,cooperation_propensity,0.3.1,0.4.0,0.547796,0.522537,0.025259,0.04611
taxon,Actinopterygii,class,inequity_sensitivity,0.3.1,0.4.0,0.565761,0.580001,0.01424,0.02517
taxon,Actinopterygii,class,punishment_propensity,0.3.1,0.4.0,0.477607,0.485401,0.007794,0.016319
taxon,Actinopterygii,class,tokenization_capacity,0.3.1,0.4.0,0.487057,0.447036,0.040021,0.082169
taxon,Actinopterygii,class,risk_preference,0.4.0,0.5.0,1.034776,1.035821,0.001045,0.00101
taxon,Actinopterygii,class,temporal_discount_rate,0.4.0,0.5.0,0.642923,0.620362,0.022561,0.035091
taxon,Actinopterygii,class,effort_price_elasticity,0.4.0,0.5.0,-1.161238,-1.177311,0.016073,0.013841
taxon,Actinopterygii,class,cooperation_propensity,0.4.0,0.5.0,0.522537,0.491064,0.031473,0.060231
taxon,Actinopterygii,class,inequity_sensitivity,0.4.0,0.5.0,0.580001,0.541872,0.038129,0.06574
taxon,Actinopterygii,class,punishment_propensity,0.4.0,0.5.0,0.485401,0.439628,0.045773,0.094299
taxon,Actinopterygii,class,tokenization_capacity,0.4.0,0.5.0,0.447036,0.418754,0.028282,0.063266
taxon,Actinopterygii,class,risk_preference,0.5.0,0.6.0,1.035821,0.981281,0.05454,0.052654
taxon,Actinopterygii,class,temporal_discount_rate,0.5.0,0.6.0,0.620362,0.584862,0.0355,0.057225
taxon,Actinopterygii,class,effort_price_elasticity,0.5.0,0.6.0,-1.177311,-1.179163,0.001852,0.001573
taxon,Actinopterygii,class,cooperation_propensity,0.5.0,0.6.0,0.491064,0.519906,0.028842,0.058734
taxon,Actinopterygii,class,inequity_sensitivity,0.5.0,0.6.0,0.541872,0.567338,0.025466,0.046996
taxon,Actinopterygii,class,punishment_propensity,0.5.0,0.6.0,0.439628,0.460722,0.021094,0.047981
taxon,Actinopterygii,class,tokenization_capacity,0.5.0,0.6.0,0.418754,0.436776,0.018022,0.043037
taxon,Aves,class,risk_preference,0.3.0,0.3.1,0.991016,0.991016,0.0,0.0
taxon,Aves,class,temporal_discount_rate,0.3.0,0.3.1,0.490801,0.490801,0.0,0.0
taxon,Aves,class,effort_price_elasticity,0.3.0,0.3.1,-0.853055,-0.853055,0.0,0.0
taxon,Aves,class,cooperation_propensity,0.3.0,0.3.1,0.71695,0.71695,0.0,0.0
taxon,Aves,class,inequity_sensitivity,0.3.0,0.3.1,0.704445,0.704445,0.0,0.0
taxon,Aves,class,punishment_propensity,0.3.0,0.3.1,0.598007,0.598007,0.0,0.0
